j._k._rowling_harry_potter 	NP 	J._K._Rowling_Harry_Potter
mr._malfoy 	NP 	Mr._Malfoy
. 	Fp 	.
- 	Fg 	-
e 	CC 	E
como 	CS 	como
dumbledore 	NP 	Dumbledore
não 	RN 	não
ir 	VMI 	foi
capaz 	AQ 	capaz
de 	SP 	de
pôr 	VMN 	pôr
cobro 	NC 	cobro
a 	SP 	a
este 	DD 	estes
ataque 	NC 	ataques
... 	Fs 	...
- 	Fg 	-
oh 	I 	Oh
! 	Fat 	!
lucius 	NP 	Lucius
, 	Fc 	,
se 	CS 	se
dumbledore 	NP 	Dumbledore
não 	RN 	não
conseguir 	VMI 	conseguiu
- 	Fg 	-
dizer 	VMI 	disse
fudge 	NP 	Fudge
com 	SP 	com
o 	DA 	o
lábio 	NC 	lábio
superior 	AQ 	superior
a 	SP 	a
suar 	VMN 	suar
. 	Fp 	.
- 	Fg 	-
quem 	PR 	Quem
ir 	VMI 	irá
conseguir 	VMN 	conseguir
? 	Fit 	?
- 	Fg 	-
isso 	PD 	Isso
estar 	VMI 	está
para 	SP 	para
se 	PP 	se
ver 	VMN 	ver
- 	Fg 	-
dizer 	VMI 	disse
mr._malfoy 	NP 	Mr._Malfoy
com 	SP 	com
um 	DI 	um
sorriso 	NC 	sorriso
mesquinho 	AQ 	mesquinho
. 	Fp 	.
- 	Fg 	-
mas 	CC 	Mas
como 	CS 	como
o 	DA 	os
12 	Z 	doze
votar 	VMI 	votamos
... 	Fs 	...
hagrid 	NP 	Hagrid
pôr 	VMI 	pôs
se 	PP 	se
de 	SP 	de
pé 	NC 	pé
em 	SP 	em
um 	DI 	um
salto 	NC 	salto
, 	Fc 	,
o 	DA 	o
cabelo 	NC 	cabelo
preto 	AQ 	preto
hirsuto 	AQ 	hirsuto
a 	SP 	a
roçar 	VMN 	roçar
em 	SP 	em
o 	DA 	o
tecto 	NC 	tecto
. 	Fp 	.
- 	Fg 	-
e 	CC 	E
quanto 	PT 	quantos
ter 	VMI 	tiveste
de 	SP 	de
chantajar 	VMN 	chantajar
para 	SP 	para
concordar 	VMN 	concordarem
comigo 	PP 	contigo
, 	Fc 	,
malfoy 	NP 	Malfoy
? 	Fit 	?
- 	Fg 	-
meu 	DP 	Meu
caro 	AQ 	caro
hagrid 	NP 	Hagrid
, 	Fc 	,
saber 	VMI 	sabe
que 	CS 	que
esse 	DD 	esse
seu 	DP 	seu
temperamento 	NC 	temperamento
ainda 	RG 	ainda
acabar 	VMI 	acaba
por 	SP 	por
lhe 	PP 	lhe
criar 	VMN 	criar
problema 	NC 	problemas
um 	DI 	um
dia 	NC 	dia
de 	SP 	de
este 	DD 	estes
- 	Fg 	-
dizer 	VMI 	disse
mr._malfoy 	NP 	Mr._Malfoy
. 	Fp 	.
- 	Fg 	-
não 	RN 	Não
o 	PP 	o
aconselhar 	VMI 	aconselho
a 	SP 	a
gritar 	VMN 	gritar
assim 	RG 	assim
com 	SP 	com
o 	DA 	os
guarda 	NC 	guardas
de 	SP 	de
azkaban 	NP 	Azkaban
. 	Fp 	.
ele 	PP 	Eles
não 	RN 	não
ir 	VMI 	iriam
gostar 	VMN 	gostar
nada 	PI 	nada
. 	Fp 	.
- 	Fg 	-
não 	RN 	Não
poder 	VMI 	podes
levar 	VMN 	levar
dumbledore 	NP 	Dumbledore
- 	Fg 	-
gritar 	VMI 	gritou
hagrid 	NP 	Hagrid
, 	Fc 	,
fazer 	VMG 	fazendo
fang 	NP 	Fang
, 	Fc 	,
o 	DA 	o
cão 	NC 	cão
caçador 	AQ 	caçador
de 	SP 	de
javali 	NC 	javalis
, 	Fc 	,
agachar 	VMN 	agachar
se 	PP 	se
e 	CC 	e
ganir 	VMN 	ganir
em 	SP 	em
o 	DA 	o
seu 	DP 	seu
cesto 	NC 	cesto
. 	Fp 	.
- 	Fg 	-
sem 	SP 	Sem
ele 	PP 	ele
, 	Fc 	,
o 	DA 	os
filho 	NC 	filhos
de 	SP 	de
o 	DA 	os
muggles 	NP 	Muggles
não 	RN 	não
ter 	VMI 	têm
qualquer 	DI 	qualquer
hipótese 	NC 	hipótese
. 	Fp 	.
a 	SP 	A
seguir 	VMN 	seguir
haver 	VMI 	haverá
morte 	NC 	mortes
. 	Fp 	.
- 	Fg 	-
acalmar 	VMI 	Acalma
te 	PP 	te
, 	Fc 	,
hagrid 	NP 	Hagrid
- 	Fg 	-
dizer 	VMI 	disse
dumbledore 	NP 	Dumbledore
de 	SP 	de
forma 	NC 	forma
cortante 	AQ 	cortante
, 	Fc 	,
olhar 	VMG 	olhando
para 	SP 	para
lucius_malfoy 	NP 	Lucius_Malfoy
. 	Fp 	.
- 	Fg 	-
se 	CS 	Se
o 	DA 	os
membro 	NC 	membros
de 	SP 	de
o 	DA 	o
conselho 	NC 	conselho
querer 	VMI 	querem
substituir 	VMN 	substituir
me 	PP 	me
, 	Fc 	,
eu 	PP 	eu
sair 	VMI 	sairei
, 	Fc 	,
claro 	AQ 	claro
. 	Fp 	.
- 	Fg 	-
mas 	CC 	Mas
- 	Fg 	-
interromper 	VMI 	interrompeu
fudge 	NP 	Fudge
. 	Fp 	.
- 	Fg 	-
não 	RN 	Não
- 	Fg 	-
rosnar 	VMI 	rosnou
hagrid 	NP 	Hagrid
. 	Fp 	.
dumbledore 	NP 	Dumbledore
não 	RN 	não
tirar 	VMI 	tirara
o 	DA 	os
seu 	DP 	seus
olho 	NC 	olhos
azul 	AQ 	azuis
brilhante 	NC 	brilhantes
de 	SP 	de
o 	DA 	os
olho 	NC 	olhos
cinzento 	AQ 	cinzentos
e 	CC 	e
frio 	AQ 	frios
de 	SP 	de
lucius_malfoy 	NP 	Lucius_Malfoy
. 	Fp 	.
- 	Fg 	-
contudo 	CC 	Contudo
- 	Fg 	-
dizer 	VMI 	disse
, 	Fc 	,
pronunciar 	VMG 	pronunciando
cada 	DI 	cada
palavra 	NC 	palavra
lento 	AQ 	lenta
e 	CC 	e
claro 	RG 	claramente
para 	SP 	para
que 	CS 	que
nenhum 	PI 	nenhum
de 	SP 	de
ele 	PP 	eles
perder 	VMS 	perdesse
o 	DA 	o
seu 	DP 	seu
sentido 	NC 	sentido
- 	Fg 	-
ver 	VMI 	verás
que 	CS 	que
só 	RG 	só
deixar 	VMI 	deixarei
verdadeiro 	RG 	verdadeiramente
este 	DD 	esta
escola 	NC 	escola
quando 	RG 	quando
ninguém 	PI 	ninguém
aqui 	RG 	aqui
me 	PP 	me
ir 	VMS 	for
leal 	AQ 	leal
. 	Fp 	.
descobrir 	VMI 	Descobrirás
também 	RG 	também
que 	CS 	que
ser 	VMI 	será
sempre 	RG 	sempre
dar 	VMP 	dada
ajuda 	NC 	ajuda
em 	SP 	em
hogwarts 	NP 	Hogwarts
a 	SP 	a
quem 	PR 	quem
o 	PP 	a
pedir 	VMN 	pedir
. 	Fp 	.
por 	SP 	Por
um 	DI 	um
segundo 	NC 	segundo
, 	Fc 	,
harry 	NP 	Harry
ter 	VMI 	teve
quase 	RG 	quase
o 	DA 	a
certeza 	NC 	certeza
de 	SP 	de
que 	PR 	que
o 	DA 	os
olho 	NC 	olhos
de 	SP 	de
dumbledore 	NP 	Dumbledore
tremelaziram 	VMI 	tremelaziram
em 	SP 	em
direcção 	NC 	direcção
a 	SP 	a
o 	DA 	o
canto 	NC 	canto
onde 	RG 	onde
ele 	PP 	ele
e 	CC 	e
ron 	NP 	Ron
estar 	VMI 	estavam
esconder 	VMP 	escondidos
. 	Fp 	.
- 	Fg 	-
sentimento 	NC 	Sentimentos
admirável 	AQ 	admiráveis
- 	Fg 	-
dizer 	VMI 	disse
malfoy 	NP 	Malfoy
, 	Fc 	,
fazer 	VMG 	fazendo
um 	DI 	uma
vénia 	NC 	vénia
. 	Fp 	.
- 	Fg 	-
todo 	PI 	Todos
nós 	PP 	nós
ir 	VMI 	vamos
sentir 	VMN 	sentir
o 	DA 	a
teu 	AP 	tua
... 	Fs 	...
forma 	NC 	forma
muito 	RG 	muito
pessoal 	AQ 	pessoal
de 	SP 	de
fazer 	VMN 	fazer
o 	DA 	as
coisa 	NC 	coisas
, 	Fc 	,
albus 	NP 	Albus
. 	Fp 	.
só 	RG 	Só
esperar 	VMI 	espero
que 	CS 	que
o 	DA 	o
teu 	DP 	teu
sucessor 	NC 	sucessor
conseguir 	VMS 	consiga
evitar 	VMN 	evitar
qualquer 	DI 	qualquer
... 	Fs 	...
crime 	NC 	crime
. 	Fp 	.
dirigir 	VMI 	Dirigiu
se 	PP 	se
a 	SP 	a
o 	DA 	a
porta 	NC 	porta
de 	SP 	de
o 	DA 	a
cabana 	NC 	cabana
, 	Fc 	,
abrir 	VMI 	abriu
o 	PP 	a
e 	CC 	e
fazer 	VMI 	fez
sinal 	NC 	sinal
a 	SP 	a
dumbledore 	NP 	Dumbledore
para 	SP 	para
que 	CS 	que
passar 	VMS 	passasse
a 	SP 	a
o 	DA 	a
seu 	DP 	sua
frente 	NC 	frente
. 	Fp 	.
fudge 	NP 	Fudge
, 	Fc 	,
mexer 	VMG 	mexendo
nervoso 	RG 	nervosamente
em 	SP 	em
o 	DA 	o
chapéu 	NC 	chapéu
de 	SP 	de
coco 	NC 	coco
, 	Fc 	,
esperar 	VMI 	esperou
que 	CS 	que
hagrid 	NP 	Hagrid
fazer 	VMS 	fizesse
o 	DA 	o
mesmo 	RG 	mesmo
mas 	CC 	mas
ele 	PP 	ele
ficar 	VMI 	ficou
quieto 	AQ 	quieto
, 	Fc 	,
respirar 	VMI 	respirou
fundo 	NC 	fundo
e 	CC 	e
dizer 	VMI 	disse
prudente 	RG 	prudentemente
: 	Fd 	:
- 	Fg 	-
se 	PP 	Se
alguém 	PI 	alguém
querer 	VMS 	quiser
descobrir 	VMN 	descobrir
algum 	DI 	alguma
coisa 	NC 	coisa
, 	Fc 	,
o 	PD 	o
que 	PR 	que
ter 	VMI 	tem
a 	SP 	a
fazer 	VMN 	fazer
ser 	VMI 	é
seguir 	VMN 	seguir
o 	DA 	as
aranha 	NC 	aranhas
. 	Fp 	.
ele 	PP 	Elas
indicar 	VMI 	indicarão
o 	DA 	o
caminho 	NC 	caminho
, 	Fc 	,
ser 	VMI 	é
tudo_o_que 	PR 	tudo_o_que
vos 	PP 	vos
dizer 	VMI 	digo
. 	Fp 	.
fudge 	NP 	Fudge
olhar 	VMI 	olhou
para 	SP 	para
ele 	PP 	ele
espantar 	VMP 	espantado
. 	Fp 	.
- 	Fg 	-
estar 	VMI 	Está
bem 	RG 	bem
, 	Fc 	,
eu 	PP 	eu
ir 	VMI 	vou
- 	Fg 	-
dizer 	VMI 	disse
hagrid 	NP 	Hagrid
, 	Fc 	,
pegar 	VMG 	pegando
em 	SP 	em
o 	DA 	o
seu 	DP 	seu
sobretudo 	RG 	sobretudo
de 	SP 	de
pêlo 	NC 	pêlo
de 	SP 	de
toupeira 	NC 	toupeira
. 	Fp 	.
mas 	CC 	Mas
quando 	RG 	quando
ir 	VMI 	ia
seguir 	VMN 	seguir
o 	DA 	o
fudge 	NP 	Fudge
e 	CC 	e
sair 	VMN 	sair
por 	SP 	por
o 	DA 	a
porta 	NC 	porta
, 	Fc 	,
parar 	VMI 	parou
e 	CC 	e
dizer 	VMI 	disse
em 	SP 	em
voz 	NC 	voz
alto 	AQ 	alta
: 	Fd 	:
- 	Fg 	-
e 	CC 	E
alguém 	PI 	alguém
ter 	VMI 	tem
de 	SP 	de
dar 	VMN 	dar
de 	SP 	de
comer 	VMN 	comer
a 	SP 	a
o 	DA 	o
fang 	NP 	Fang
enquanto 	RG 	enquanto
eu 	PP 	eu
não 	RN 	não
estar 	VMS 	estiver
cá 	RG 	cá
. 	Fp 	.
o 	DA 	A
porta 	NC 	porta
fechar 	VMI 	fechou
se 	PP 	se
ruidoso 	RG 	ruidosamente
e 	CC 	e
ron 	NP 	Ron
tirar 	VMI 	tirou
o 	DA 	o
manto 	NC 	manto
de 	SP 	de
o 	DA 	a
invisibilidade 	NC 	invisibilidade
. 	Fp 	.
-- 	Fg 	--
estar 	VMI 	Estamos
outra_vez 	RG 	outra_vez
em 	SP 	em
um 	DI 	uma
alhada 	NC 	alhada
- 	Fg 	-
dizer 	VMI 	disse
com 	SP 	com
voz 	NC 	voz
rouco 	AQ 	rouca
- 	Fg 	-
sem 	SP 	Sem
o 	DA 	o
dumbledore 	NP 	Dumbledore
poder 	VMI 	podem
fechar 	VMN 	fechar
o 	DA 	a
escola 	NC 	escola
já 	RG 	já
este 	DD 	esta
noite 	NC 	noite
. 	Fp 	.
sem 	SP 	Sem
ele 	PP 	ele
ir 	VMI 	vai
haver 	VMN 	haver
um 	DI 	um
ataque 	NC 	ataque
por 	SP 	por
dia 	NC 	dia
. 	Fp 	.
o 	DA 	O
fang 	NP 	Fang
começar 	VMI 	começou
a 	SP 	a
ganir 	VMN 	ganir
, 	Fc 	,
arranhar 	VMG 	arranhando
o 	DA 	a
porta 	NC 	porta
fechar 	VMP 	fechada
. 	Fp 	.
xv_aragog_o_verão 	NP 	XV_Aragog_O_Verão
insinuar 	VMI 	insinuava
se 	PP 	se
em 	SP 	em
o 	DA 	os
campo 	NC 	campos
em 	SP 	em
volta 	NC 	volta
de 	SP 	de
o 	DA 	o
castelo 	NC 	castelo
. 	Fp 	.
o 	DA 	O
céu 	NC 	céu
e 	CC 	e
o 	DA 	o
lago 	NC 	lago
ter 	VMI 	tinham
se 	PP 	se
tornar 	VMP 	tornado
de 	SP 	de
um 	DI 	um
azul-molusco 	NC 	azul-molusco
e 	CC 	e
o 	DA 	as
flor 	NC 	flores
, 	Fc 	,
grande 	AQ 	grandes
como 	CS 	como
couve 	NC 	couves
, 	Fc 	,
começar 	VMI 	começavam
a 	SP 	a
florir 	VMN 	florir
em 	SP 	em
o 	DA 	as
estufa 	NC 	estufas
. 	Fp 	.
mas 	CC 	Mas
sem 	SP 	sem
o 	DA 	o
hagrid 	NP 	Hagrid
, 	Fc 	,
que 	PR 	que
ele 	PP 	ele
costumar 	VMI 	costumava
avistar 	VMN 	avistar
de 	SP 	de
o 	DA 	o
castelo 	NC 	castelo
, 	Fc 	,
atravessar 	VMG 	atravessando
o 	DA 	os
campo 	NC 	campos
com 	SP 	com
o 	DA 	o
fang 	NP 	Fang
atrás 	RG 	atrás
, 	Fc 	,
parecer 	VMI 	parecia
o 	DA 	a
harry 	NP 	Harry
que 	CS 	que
o 	DA 	a
paisagem 	NC 	paisagem
não 	RN 	não
estar 	VMI 	estava
completar 	VMI 	completa
. 	Fp 	.
não 	RN 	Não
ser 	VMI 	era
melhor 	RG 	melhor
dentro 	RG 	dentro
de 	SP 	de
o 	DA 	o
castelo 	NC 	castelo
onde 	RG 	onde
tudo 	PI 	tudo
correr 	VMI 	corria
horrivelmente 	RG 	horrivelmente
mal 	RG 	mal
. 	Fp 	.
o 	DA 	O
harry 	NP 	Harry
e 	CC 	e
o 	DA 	o
ron 	NP 	Ron
ter 	VMI 	tinham
tentar 	VMP 	tentado
visitar 	VMN 	visitar
o 	DA 	a
hermione 	NP 	Hermione
, 	Fc 	,
mas 	CC 	mas
o 	DA 	as
visita 	NC 	visitas
a 	SP 	a
o 	DA 	o
hospital 	NC 	hospital
estar 	VMI 	estavam
proibir 	VMP 	proibidas
. 	Fp 	.
- 	Fg 	-
não 	RN 	Não
ir 	VMI 	vamos
correr 	VMN 	correr
mais 	RG 	mais
risco 	NC 	riscos
- 	Fg 	-
dizer 	VMI 	disse
lhe 	PP 	lhes
madam_pomfrey 	NP 	Madam_Pomfrey
com 	SP 	com
ar 	NC 	ar
severo 	AQ 	severo
, 	Fc 	,
através_de 	SP 	através_de
um 	DI 	uma
fresta 	NC 	fresta
de 	SP 	de
o 	DA 	a
porta 	NC 	porta
de 	SP 	de
o 	DA 	o
hospital 	NC 	hospital
. 	Fp 	.
não 	RN 	Não
, 	Fc 	,
lamento 	NC 	lamento
, 	Fc 	,
haver 	VMI 	há
muito 	DI 	muitas
hipótese 	NC 	hipóteses
de 	SP 	de
o 	DA 	o
atacante 	NC 	atacante
voltar 	VMN 	voltar
para 	SP 	para
acabar 	VMN 	acabar
de 	SP 	de
vez 	NC 	vez
com 	SP 	com
este 	DD 	estas
pessoa 	NC 	pessoas
... 	Fs 	...
com 	SP 	Com
dumbledore 	NP 	Dumbledore
longe 	RG 	longe
, 	Fc 	,
o 	DA 	o
medo 	NC 	medo
espalhar 	VMI 	espalhara
se 	PP 	se
como 	CS 	como
nunca 	RG 	nunca
acontecer 	VMI 	acontecera
antes 	RG 	antes
, 	Fc 	,
de_tal_modo_que 	CS 	de_tal_modo_que
o 	DA 	o
sol 	NC 	sol
que 	PR 	que
aquecer 	VMI 	aquecia
o 	DA 	as
parede 	NC 	paredes
de 	SP 	de
o 	DA 	o
castelo 	NC 	castelo
por 	SP 	por
fora 	RG 	fora
parecer 	VMI 	parecia
parar 	VMN 	parar
junto 	RG 	junto
de 	SP 	de
o 	DA 	as
janela 	NC 	janelas
de 	SP 	de
pinázio 	NC 	pinázios
. 	Fp 	.
não 	RN 	Não
se 	PP 	se
ver 	VMI 	via
um 	DI 	um
único 	AQ 	único
rosto 	NC 	rosto
em 	SP 	em
o 	DA 	a
escola 	NC 	escola
que 	PR 	que
não 	RN 	não
andar 	VMS 	andasse
tenso 	AQ 	tenso
e 	CC 	e
preocupar 	VMP 	preocupado
e 	CC 	e
qualquer 	DI 	qualquer
gargalhada 	NC 	gargalhada
, 	Fc 	,
em 	SP 	em
o 	DA 	os
corredor 	NC 	corredores
, 	Fc 	,
se 	PP 	se
tornar 	VMI 	tornava
incómodo 	AQ 	incómoda
e 	CC 	e
antinatural 	AQ 	antinatural
e 	CC 	e
ser 	VMI 	era
rapidamente 	RG 	rapidamente
abafar 	VMP 	abafada
. 	Fp 	.
harry 	NP 	Harry
repetir 	VMI 	repetia
constante 	RG 	constantemente
, 	Fc 	,
de 	SP 	de
si 	PP 	si
para 	SP 	para
comigo 	PP 	consigo
, 	Fc 	,
o 	DA 	as
último 	AO 	últimas
palavra 	NC 	palavras
que 	PR 	que
ouvir 	VMI 	ouvira
o 	DA 	a
dumbledore 	NP 	Dumbledore
: 	Fd 	:
- 	Fg 	-
* 	Fz 	*
_ 	Fz 	_
só 	NP 	Só
ter 	VMI 	terei
verdadeiro 	RG 	verdadeiramente
deixar 	VMP 	deixado
este 	DD 	esta
escola 	NC 	escola
quando 	RG 	quando
ninguém 	PI 	ninguém
me 	PP 	me
ir 	VMS 	for
leal 	AQ 	leal
... 	Fs 	...
ser 	VMI 	será
sempre 	RG 	sempre
dar 	VMP 	dada
ajuda 	NC 	ajuda
, 	Fc 	,
em 	SP 	em
hogwarts 	NP 	Hogwarts
, 	Fc 	,
a 	SP 	a
quem 	PR 	quem
o 	DA 	a
pedir 	VMN 	pedir
* 	Fz 	*
. 	Fp 	.
qual 	PT 	Qual
ser 	VMI 	seria
o 	DA 	o
significado 	NC 	significado
exacto 	AQ 	exacto
de 	SP 	de
aquele 	PD 	aquelas
palavra 	NC 	palavras
? 	Fit 	?
o 	DA 	A
quem 	PT 	quem
dever 	VMI 	deveria
pedir 	VMN 	pedir
ajuda 	NC 	ajuda
quando 	RG 	quando
todo 	PI 	todos
estar 	VMI 	estavam
tão 	RG 	tão
confuso 	AQ 	confusos
assustar 	VMP 	assustados
como 	CS 	como
ele 	PP 	ele
? 	Fit 	?
o 	DA 	A
alusão 	NC 	alusão
de 	SP 	de
hagrid 	NP 	Hagrid
a 	SP 	a
o 	DA 	as
aranha 	NC 	aranhas
ser 	VMI 	era
bastante 	RG 	bastante
mais 	RG 	mais
fácil 	AQ 	fácil
de 	SP 	de
entender 	VMN 	entender
. 	Fp 	.
o 	DA 	O
problema 	NC 	problema
ser 	VMI 	era
que 	CS 	que
parecer 	VMI 	parecia
não 	RN 	não
ter 	VMN 	ter
restar 	VMP 	restado
um 	DI 	uma
único 	AQ 	única
aranha 	NC 	aranha
em 	SP 	em
o 	DA 	o
castelo 	NC 	castelo
para 	SP 	para
ele 	PP 	eles
a 	SP 	a
poder 	VMN 	poderem
seguir 	VMN 	seguir
. 	Fp 	.
harry 	NP 	Harry
procurar 	VMI 	procurou
por 	SP 	por
todo 	DI 	todo
o 	DA 	o
lado 	NC 	lado
com 	SP 	com
o 	DA 	a
ajuda 	NC 	ajuda
relutante 	AQ 	relutante
de 	SP 	de
o 	DA 	o
ron 	NP 	Ron
. 	Fp 	.
o 	DA 	As
coisa 	NC 	coisas
estar 	VMI 	estavam
dificultar 	VMP 	dificultadas
por 	SP 	por
o 	DA 	o
facto 	NC 	facto
de 	SP 	de
não 	RN 	não
poder 	VMN 	poderem
andar 	VMN 	andar
só 	AQ 	sozinhos
e 	CC 	e
ter 	VMN 	terem
de 	SP 	de
se 	PP 	se
deslocar 	VMN 	deslocar
em 	SP 	em
grupo 	NC 	grupo
dentro 	RG 	dentro
de 	SP 	de
o 	DA 	o
castelo 	NC 	castelo
, 	Fc 	,
junto 	RG 	juntamente
com 	SP 	com
outro 	DI 	outros
gryffindor 	NP 	Gryffindor
. 	Fp 	.
o 	DA 	A
maior 	AQ 	maior
parte 	NC 	parte
de 	SP 	de
o 	DA 	os
aluno 	NC 	alunos
gostar 	VMI 	gostava
de 	SP 	de
ser 	VMN 	ser
conduzir 	VMP 	conduzida
como 	CS 	como
carneiro 	NC 	carneiros
de 	SP 	de
um 	DI 	uma
aula 	NC 	aula
para 	SP 	para
o 	DA 	a
outro 	PI 	outra
por 	SP 	por
o 	DA 	os
professor 	NC 	professores
mas 	CC 	mas
harry 	NP 	Harry
achar 	VMI 	achava
horrível 	AQ 	horrível
. 	Fp 	.
haver 	VMI 	Havia
, 	Fc 	,
contudo 	CC 	contudo
, 	Fc 	,
um 	DI 	uma
pessoa 	NC 	pessoa
que 	PR 	que
parecer 	VMI 	parecia
apreciar 	VMN 	apreciar
aquele 	DD 	aquela
atmosfera 	NC 	atmosfera
de 	SP 	de
terror 	NC 	terror
e 	CC 	e
suspeita 	NC 	suspeitas
. 	Fp 	.
draco_malfoy 	NP 	Draco_Malfoy
passear 	VMI 	passeava
empertigar 	VMP 	empertigado
por 	SP 	por
o 	DA 	a
escola 	NC 	escola
como_se 	CS 	como_se
ter 	VMS 	tivesse
ser 	VMP 	sido
nomear 	VMP 	nomeado
para 	SP 	para
chefe 	NC 	chefe
de 	SP 	de
turma 	NC 	turma
. 	Fp 	.
harry 	NP 	Harry
só 	RG 	só
compreender 	VMI 	compreendeu
o 	DA 	o
motivo 	NC 	motivo
de 	SP 	de
todo 	DI 	toda
aquele 	DD 	aquela
bom 	AQ 	boa
disposição 	NC 	disposição
cerca 	RG 	cerca
de 	SP 	de
quinze_dias 	NC 	quinze_dias
depois 	RG 	depois
de 	SP 	de
dumbledore 	NP 	Dumbledore
e 	CC 	e
hagrid 	NP 	Hagrid
se 	PP 	se
ter 	VMN 	terem
ir 	VMP 	ido
embora 	CS 	embora
quando 	RG 	quando
, 	Fc 	,
em 	SP 	em
um 	DI 	uma
aula 	NC 	aula
de 	SP 	de
poção 	NC 	poções
, 	Fc 	,
o 	PD 	o
ouvir 	VMI 	ouviu
falar 	VMN 	falar
com 	SP 	com
o 	DA 	o
crabbe 	NP 	Crabbe
e 	CC 	e
o 	DA 	o
goyle 	NP 	Goyle
. 	Fp 	.
- 	Fg 	-
sempre 	RG 	Sempre
achar 	VMI 	achei
que 	CS 	que
ser 	VMI 	seria
o 	DA 	o
pai 	NC 	pai
quem 	PR 	quem
conseguir 	VMI 	conseguiria
livrar 	VMN 	livrar
nos 	PP 	nos
de 	SP 	de
o 	DA 	o
dumbledore 	NP 	Dumbledore
- 	Fg 	-
dizer 	VMI 	disse
sem 	SP 	sem
o 	DA 	a
menor 	AQ 	menor
preocupação 	NC 	preocupação
em 	SP 	em
baixar 	VMN 	baixar
o 	DA 	a
voz 	NC 	voz
. 	Fp 	.
- 	Fg 	-
já 	RG 	Já
vos 	PP 	vos
dizer 	VMI 	disse
, 	Fc 	,
segundo 	SP 	segundo
ele 	PP 	ele
, 	Fc 	,
dumbledore 	NP 	Dumbledore
ir 	VMI 	foi
o 	DA 	o
pior 	AQ 	pior
director 	NC 	director
que 	PR 	que
o 	DA 	a
escola 	NC 	escola
algum 	DI 	alguma
vez 	NC 	vez
ter 	VMI 	teve
. 	Fp 	.
talvez 	RG 	Talvez
agora 	RG 	agora
vir 	VMS 	venha
um 	DI 	um
director 	NC 	director
decente 	AQ 	decente
que 	PR 	que
não 	RN 	não
querer 	VMS 	queira
o 	DA 	a
câmara_dos_segredos 	NP 	Câmara_dos_Segredos
fechar 	VMP 	fechada
. 	Fp 	.
o 	DA 	A
mc_gonagall 	NP 	Mc_Gonagall
não 	RN 	não
ir 	VMI 	vai
durar 	VMN 	durar
muito 	RG 	muito
, 	Fc 	,
estar 	VMI 	está
só 	RG 	só
a 	SP 	a
... 	Fs 	...
o 	DA 	O
snape 	NP 	Snape
passar 	VMI 	passou
por 	SP 	por
harry 	NP 	Harry
, 	Fc 	,
sem 	SP 	sem
fazer 	VMN 	fazer
comentário 	NC 	comentários
a 	SP 	a
o 	DA 	o
caldeirão 	NC 	caldeirão
e 	CC 	e
a 	SP 	a
o 	DA 	a
cadeira 	NC 	cadeira
vazio 	AQ 	vazia
de 	SP 	de
hermione 	NP 	Hermione
. 	Fp 	.
- 	Fg 	-
professor 	NP 	Professor
- 	Fg 	-
dizer 	VMI 	disse
malfoy 	NP 	Malfoy
em 	SP 	em
voz 	NC 	voz
alto 	AQ 	alta
. 	Fp 	.
- 	Fg 	-
professor 	NP 	Professor
, 	Fc 	,
porque 	CS 	porque
não 	RN 	não
se 	PP 	se
candidatar 	VMI 	candidata
a 	SP 	a
o 	DA 	o
lugar 	NC 	lugar
de 	SP 	de
director 	NC 	director
? 	Fit 	?
- 	Fg 	-
ora 	I 	Ora
, 	Fc 	,
ora 	I 	ora
, 	Fc 	,
malfoy 	NP 	Malfoy
- 	Fg 	-
responder 	VMI 	respondeu
snape 	NP 	Snape
, 	Fc 	,
sem 	SP 	sem
conseguir 	VMN 	conseguir
esconder 	VMN 	esconder
um 	DI 	um
meio 	AQ 	meio
sorriso 	NC 	sorriso
. 	Fp 	.
- 	Fg 	-
o 	DA 	O
professor 	NC 	professor
dumbledore 	NP 	Dumbledore
ir 	VMI 	foi
apenas 	RG 	apenas
suspenso 	AQ 	suspenso
por 	SP 	por
o 	DA 	os
membro 	NC 	membros
de 	SP 	de
o 	DA 	o
conselho 	NC 	conselho
de 	SP 	de
direcção 	NC 	direcção
, 	Fc 	,
certo 	RG 	certamente
ir 	VMI 	vai
voltar 	VMN 	voltar
um 	DI 	um
dia 	NC 	dia
de 	SP 	de
este 	DD 	estes
. 	Fp 	.
- 	Fg 	-
sim 	I 	Sim
, 	Fc 	,
claro 	AQ 	claro
- 	Fg 	-
dizer 	VMI 	disse
malfoy 	NP 	Malfoy
com 	SP 	com
o 	DA 	o
seu 	DP 	seu
sorriso 	NC 	sorriso
escarninho 	AQ 	escarninho
. 	Fp 	.
- 	Fg 	-
achar 	VMI 	Acho
que 	CS 	que
se 	PP 	se
o 	DA 	o
professor 	NC 	professor
querer 	VMS 	quisesse
candidatar 	VMN 	candidatar
se 	PP 	se
a 	SP 	a
o 	DA 	o
lugar 	NC 	lugar
ter 	VMI 	teria
o 	DA 	o
voto 	NC 	voto
de 	SP 	de
o 	DA 	o
pai 	NC 	pai
. 	Fp 	.
eu 	PP 	Eu
ir 	VMI 	vou
dizer 	VMN 	dizer
lhe 	PP 	lhe
que 	CS 	que
o 	PP 	o
achar 	VMI 	acho
o 	DA 	o
melhor 	AQ 	melhor
professor 	NC 	professor
de 	SP 	de
o 	DA 	a
escola 	NC 	escola
. 	Fp 	.
snape 	NP 	Snape
sorrir 	VMI 	sorriu
