j._k._rowling_harry_potter 	NP 	J._K._Rowling_Harry_Potter
o 	DA 	a
rua 	NC 	rua
. 	Fp 	.
saber 	VMI 	Sabiam
que 	CS 	que
o 	DA 	os
potters 	NP 	Potters
ter 	VMI 	tinham
também 	RG 	também
um 	DI 	um
filho 	NC 	filho
pequeno 	AQ 	pequeno
que 	PR 	que
ele 	PP 	eles
nunca 	RG 	nunca
ter 	VMI 	tinham
ver 	VMP 	visto
e 	CC 	e
esse 	DD 	esse
rapazinho 	NC 	rapazinho
ser 	VMI 	era
mais 	RG 	mais
um 	DI 	um
motivo 	NC 	motivo
para 	SP 	para
o 	DA 	os
querer 	VMN 	querer
manter 	VMN 	manter
afastar 	VMP 	afastados
. 	Fp 	.
o 	DA 	A
último 	AO 	última
coisa 	NC 	coisa
que 	PR 	que
lhe 	PP 	lhes
interessar 	VMI 	interessava
ser 	VMI 	era
ver 	VMN 	verem
o 	DA 	o
dudley 	NP 	Dudley
perto_de 	SP 	perto_de
um 	DI 	uma
criança 	NC 	criança
de 	SP 	de
aquele 	PD 	aquelas
. 	Fp 	.
quando 	RG 	Quando
o 	DA 	o
senhor 	NC 	senhor
e 	CC 	e
o 	DA 	a
senhor 	NC 	senhora
dursley 	NP 	Dursley
acordar 	VMI 	acordaram
, 	Fc 	,
em 	SP 	em
o 	DA 	a
manhã 	NC 	manhã
cinzento 	AQ 	cinzenta
e 	CC 	e
pesar 	VMP 	pesada
de 	SP 	de
[M:??/??/??:??.??:??] 	W 	terça-feira
em 	SP 	em
que 	PR 	que
começar 	VMI 	começa
o 	DA 	a
nosso 	DP 	nossa
história 	NC 	história
, 	Fc 	,
nada 	PI 	nada
fazer 	VMI 	fazia
prever 	VMN 	prever
em 	SP 	em
aquele 	DD 	aquele
céu 	NC 	céu
enevoar 	VMP 	enevoado
o 	DA 	as
coisa 	NC 	coisas
insólito 	AQ 	insólitas
e 	CC 	e
misterioso 	AQ 	misteriosas
que 	PR 	que
começar 	VMI 	começariam
em_breve 	RG 	em_breve
a 	SP 	a
suceder 	VMN 	suceder
por 	SP 	por
todo 	DI 	todo
o 	DA 	o
país 	NC 	país
